2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 90.0 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.9 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 129
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 128
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 130
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 130
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 130
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.8 ; 130
2022-12-03 10:59:4 ;  f0:de:f1:39:7f:17 ; 1 ; 43.433331 -1.58333 ; 89.7 ; 130
